booking_date,total_bookings
2023-01-01,69
2023-01-02,45
2023-01-03,62
2023-01-04,0
2023-01-05,15
2023-01-06,27
2023-01-07,52
2023-01-08,35
2023-01-09,14
2023-01-10,13
2023-01-11,22
2023-01-12,17
2023-01-13,33
2023-01-14,29
2023-01-15,30
2023-01-16,21
2023-01-17,4
2023-01-18,12
2023-01-19,26
2023-01-20,28
2023-01-21,33
2023-01-22,44
2023-01-23,31
2023-01-24,8
2023-01-25,26
2023-01-26,14
2023-01-27,33
2023-01-28,42
2023-01-29,35
2023-01-30,17
2023-01-31,2
2023-02-01,11
2023-02-02,14
2023-02-03,24
2023-02-04,19
2023-02-05,33
2023-02-06,8
2023-02-07,21
2023-02-08,1
2023-02-09,37
2023-02-10,34
2023-02-11,19
2023-02-12,48
2023-02-13,28
2023-02-14,26
2023-02-15,18
2023-02-16,17
2023-02-17,40
2023-02-18,30
2023-02-19,47
2023-02-20,19
2023-02-21,0
2023-02-22,32
2023-02-23,16
2023-02-24,25
2023-02-25,27
2023-02-26,23
2023-02-27,17
2023-02-28,19
2023-03-01,58
2023-03-02,36
2023-03-03,80
2023-03-04,59
2023-03-05,69
2023-03-06,27
2023-03-07,30
2023-03-08,11
2023-03-09,41
2023-03-10,44
2023-03-11,45
2023-03-12,55
2023-03-13,29
2023-03-14,32
2023-03-15,39
2023-03-16,28
2023-03-17,60
2023-03-18,65
2023-03-19,35
2023-03-20,41
2023-03-21,46
2023-03-22,38
2023-03-23,45
2023-03-24,71
2023-03-25,31
2023-03-26,47
2023-03-27,48
2023-03-28,19
2023-03-29,48
2023-03-30,37
2023-03-31,48
2023-04-01,53
2023-04-02,47
2023-04-03,35
2023-04-04,48
2023-04-05,44
2023-04-06,29
2023-04-07,63
2023-04-08,38
2023-04-09,48
2023-04-10,42
2023-04-11,42
2023-04-12,22
2023-04-13,23
2023-04-14,60
2023-04-15,50
2023-04-16,81
2023-04-17,44
2023-04-18,43
2023-04-19,40
2023-04-20,47
2023-04-21,49
2023-04-22,47
2023-04-23,46
2023-04-24,26
2023-04-25,33
2023-04-26,28
2023-04-27,17
2023-04-28,65
2023-04-29,58
2023-04-30,58
2023-05-01,46
2023-05-02,47
2023-05-03,27
2023-05-04,30
2023-05-05,35
2023-05-06,51
2023-05-07,58
2023-05-08,26
2023-05-09,56
2023-05-10,35
2023-05-11,7
2023-05-12,68
2023-05-13,52
2023-05-14,41
2023-05-15,35
2023-05-16,45
2023-05-17,48
2023-05-18,40
2023-05-19,71
2023-05-20,63
2023-05-21,69
2023-05-22,31
2023-05-23,50
2023-05-24,19
2023-05-25,24
2023-05-26,42
2023-05-27,68
2023-05-28,64
2023-05-29,35
2023-05-30,20
2023-05-31,31
2023-06-01,36
2023-06-02,49
2023-06-03,64
2023-06-04,28
2023-06-05,18
2023-06-06,29
2023-06-07,18
2023-06-08,18
2023-06-09,39
2023-06-10,21
2023-06-11,45
2023-06-12,24
2023-06-13,15
2023-06-14,22
2023-06-15,17
2023-06-16,29
2023-06-17,26
2023-06-18,21
2023-06-19,10
2023-06-20,14
2023-06-21,9
2023-06-22,6
2023-06-23,28
2023-06-24,30
2023-06-25,49
2023-06-26,13
2023-06-27,34
2023-06-28,11
2023-06-29,8
2023-06-30,49
2023-07-01,35
2023-07-02,20
2023-07-03,11
2023-07-04,24
2023-07-05,3
2023-07-06,9
2023-07-07,24
2023-07-08,25
2023-07-09,34
2023-07-10,17
2023-07-11,21
2023-07-12,23
2023-07-13,25
2023-07-14,25
2023-07-15,37
2023-07-16,46
2023-07-17,16
2023-07-18,18
2023-07-19,20
2023-07-20,30
2023-07-21,49
2023-07-22,20
2023-07-23,39
2023-07-24,21
2023-07-25,16
2023-07-26,25
2023-07-27,18
2023-07-28,59
2023-07-29,51
2023-07-30,37
2023-07-31,11
2023-08-01,4
2023-08-02,17
2023-08-03,38
2023-08-04,38
